instance_id,repo,language_group,route,arm,candidate_count,candidate_span_coverage,span_recall@1,file_recall@5,span_recall@5,span_all@5,span_recall@10,span_mrr,retrieval_ms,rerank_ms,stage_sum_ms,rerank_recorded_cost_usd,failed_calls
astral-sh__ruff-15309,astral-sh/ruff,Rust,grep,unreranked,22,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,3646.467909216881,0.0,3646.467909216881,0.0,0
astral-sh__ruff-15330,astral-sh/ruff,Rust,grep,unreranked,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4443.399637006223,0.0,4443.399637006223,0.0,0
astral-sh__ruff-15356,astral-sh/ruff,Rust,grep,unreranked,3,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,4414.02102727443,0.0,4414.02102727443,0.0,0
astral-sh__ruff-15443,astral-sh/ruff,Rust,grep,unreranked,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5319.161555729806,0.0,5319.161555729806,0.0,0
astropy__astropy-12907,astropy/astropy,Python,grep,unreranked,5,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,3330.000746063888,0.0,3330.000746063888,0.0,0
astropy__astropy-13033,astropy/astropy,Python,grep,unreranked,9,1.0,0.0,1.0,1.0,1.0,1.0,0.25,3873.5237112268806,0.0,3873.5237112268806,0.0,0
astropy__astropy-13236,astropy/astropy,Python,grep,unreranked,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3917.9469626396894,0.0,3917.9469626396894,0.0,0
astropy__astropy-13579,astropy/astropy,Python,grep,unreranked,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4248.600833117962,0.0,4248.600833117962,0.0,0
axios__axios-4731,axios/axios,TypeScript/JavaScript,grep,unreranked,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2433.522463776171,0.0,2433.522463776171,0.0,0
axios__axios-4738,axios/axios,TypeScript/JavaScript,grep,unreranked,4,1.0,0.0,1.0,1.0,1.0,1.0,0.5,3344.47739738971,0.0,3344.47739738971,0.0,0
